bk_no,bk_name,addr_kenno,addr_sino
910504,×××サンシティつくば,4,4105
335,ピースフル泉Ａ棟,4,4105
990303,ウェストコート,4,4101
42984,メゾンＨｅｉｓｅｉ,4,4102
63,コーポエスポワール,4,4101
47497,サニーハイツＦ・Ｐ,4,4101
990405,エスポワール,4,4101
47485,シャーメゾン木戸A,4,4213
994009,×××志波町鈴木事務所,4,4103
44047,アイビス上飯田,4,4103
42070,カルロ定禅寺通,4,4101
12103,シャンボール第２片平,4,4101
48117,ブルースカイひより台,4,4216
15020,■　空き番号　■　※2020年10月までは空番号　8世帯,4,4101
47147,フレグランス鈎取Ａ,4,4104
47532,ウィンディA,4,4102
49100,ロイヤルヒルズ柳生Ⅱ,4,4104
47261,マロンハウス,4,4209
323,ベルトピア仙台１６Ｂ棟,4,4104
44071,パセオ宮,4,4105
47392,コーポのぼる,4,4103
44137,中山吉成１丁目貸家,4,4101
932006,×××ライオンズマンション台原１丁目,4,4101
41135,アルス明石台Ｈ,4,4216
92131,渥美コーポ,4,4104
42046,カルロ北目,4,4101
45020,ファミール川平,4,4101
46953,サンヴァーリオ仙台駅東,4,4102
48170,祥楽,4,4406
45019,ファミーユ中山,4,4101
15015,プランドール小鶴新田,4,4102
30,あけぼのグリーンハイツ,4,4101
44180,カーサ・プレミール,4,4101
47246,フレグランス愛子Ｂ,4,4101
990067,レブレＫ,4,4101
48856,シュラーフ　エス,4,4101
52,ハイツ増田,4,4101
46029,アルエット旭ヶ丘,4,4101
45480,ビューパレス河原町,4,4103
51036,ドーミー東口,4,4103
40502,アラモード八乙女Ⅱ,4,4105
842,コーポ平成,4,4216
44214,エスポアール長命,4,4105
46864,グレース・ガーデン,4,4209
168,Ｕティーハイツ,4,4103
40505,イーストウィング,4,4101
94014,トゥインクルコート若林Ⅷ号館,4,4103
42302,アーバンハイツ福住Ⅱ,4,4102
42803,ＫハイツＢ,4,4105
49019,αネクスト宮千代,4,4102
12067,ロイヤルパレス台原森林公園若葉の森,4,4101
43008,サンセールヴァーグ,4,4404
999988,朝日プラザ国分町,4,4101
47707,シャーメゾンシャルマンＡ,4,4505
281,コーポ日下,4,4101
12109,■　空き番号　■　一室Ｍ,4,4101
47652,ボヌール・富Ａ,4,4203
44253,グレースコートB,4,4211
92101,薬師堂マンション,4,4103
45380,デコール沖野,4,4103
48163,タキ,4,4102
44032,クレール若林,4,4103
92018,ロフティ岩切,4,4102
44039,カーサグラナダ,4,4101
160,バーシティハウス柏木,4,4101
990327,ＥＡＴＯＮ　ＨＡＣＨＩＭＡＮ,4,4101
48161,山崎,4,4102
44376,シンフォニーⅡ,4,4102
125,ハイツ桜,4,4101
457,コーポムサカ,4,4103
42923,ヴィラ・ラレーヌ,4,4104
94067,パワーハウス,4,4103
42114,フルールＳＴ,4,4105
41704,ラトゥール,4,4421
94101,旧ホテル跡（塩釜）,4,4203
93280,ビューテラス八乙女,4,4105
47487,（仮）シャーメゾン相馬A,4,4213
93276,ダイアパレス本町,4,4101
91064,ライオンズマンション春日町,4,4101
683,■　空き番号　■　※2020年10月までは空番号　8世帯,4,4101
910369,×××佐藤アパート,4,4103
922061,×××富沢南シティハウス,4,4104
900,リバーサイド,4,4105
48764,ロイヤルハウス八乙女Ｂ,4,4105
900695,×××コーポルミエールⅡ,4,4101
404,ホワイトファミール扇Ｃ,4,4104
921,コーポ中島丁,4,4101
900620,×××ガーデンヒルズ,4,4104
45434,サウスピア南小泉,4,4103
45523,ルノール３,4,4102
48113,仙台青葉Ⅱ,4,4101
990052,エルミタージュ仙台,4,4101
911051,×××笠神５丁目戸建,4,4209
900020,×××ジュネスドミ,4,4101
922050,×××片平ホワイトレジデンス,4,4101
47426,パストラル上杉,4,4101
47506,リライアンス,4,4101
990063,アーバンハイツ柏木,4,4101
46881,大和町１丁目アパートＣ,4,4103
47681,サンフラワー,4,4104
92078,カーサジュネス,4,4104
27,横山荘,4,4102
12113,■　空き番号　■　一室Ｍ,4,4101
47492,クリエイトＴ,4,4101
45818,コ・ポワール,4,4101
52022,グランドステージ,4,4104
925106,×××アヴァンセ水の森,4,4101
42203,金木犀,4,4216
47056,エトワール・メゾンＢ,4,4105
40722,パークドライブイズミ,4,4105
45518,フレグランス青葉,4,4101
23,ヴィラ幸,4,4102
46954,スターハイツ,4,4104
40649,セントラルコーポⅤ,4,4421
11056,旭ケ丘３丁目Ｙ戸建,4,4101
48007,青葉町,4,4101
49040,ゆりが丘２丁目貸家近藤邸,4,4207
47069,カーム・クウォーターB,4,4101
40713,サンヒルズA,4,4101
306,コーポ木戸,4,4101
93240,さくらコーポ,4,4101
13071,■　空き番号　■　駐車場,4,4101
269,佐藤アパート,4,4101
45347,スカイシティA,4,4102
47267,フレグランス中野栄Ａ,4,4102
13040,中江１丁目駐車場,4,4101
900209,×××西勝山コーポ一栗,4,4101
248,レジデンスカレッジ,4,4101
47465,ハピネス旭,4,4215
49099,ロイヤルヒルズ柳生Ⅰ,4,4104
910038,×××サンハイツ松が丘,4,4104
915010,×××フォーシーズンマンションＡ,4,4102
47643,コージーコートＢ,4,4104
45526,ロフティドルフィンⅠ,4,4101
260,ケープコッド,4,4101
42015,ベルシティ高松,4,4101
40342,グランドソレイユ,4,4209
47554,シャーメゾン・グレンツ,4,4445
40627,プリムローズ,4,4216
46936,レジデンツァ・ヴィラ・ヴェルディ,4,4104
48714,サンヒルズ国見３番館,4,4101
11092,高森４丁目Ａ戸建,4,4105
44411,プランドール,4,4215
912127,×××ホーユウコンフォルト南光台,4,4105
41050,ジュネス八乙女Ⅱ,4,4105
40698,グランヒル愛子Ｂ,4,4101
46870,マイルストン五橋,4,4101
44234,ディアコートＢ,4,4406
42002,エクセルメトロⅡ,4,4105
51065,エバー・グリーン桜ケ丘,4,4101
42093,アーバンフラッツ上杉,4,4101
45402,ガーデンビレッジB棟,4,4103
999999,※※削除※※,4,4105
956,ディアス石名坂,4,4103
49003,エスパシオ支倉,4,4101
662,パーチェ中山,4,4101
46120,サンヴァーリオ新田駅前Ⅴ,4,4102
292,プチレジョン柏木,4,4101
900535,×××エクセルシャトーひらつか,4,4105
901119,×××ショメール大和,4,4103
